,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
546,5.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2,1.0,2.0,5.0,1.0,3,2,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,3.0,1,4,2.0,4.0,5.0,3.0,4.0,4.0,1.0,4.0,3,4.0,4,3,1,4.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,5.0,4.0,3.0,2,4.0,4.0,2.0,4.0,2.0,3,5.0,27.0,178.0,77.0,3.0,1,2,5,2,1,2
265,5.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,3.0,1.0,4.0,3,1.0,1.0,2.0,3.0,3,2,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2,3,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3,1.0,3,3,1,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,1,5.0,5.0,3.0,3.0,3.0,2,3.0,15.0,170.0,49.0,1.0,2,2,3,2,2,1
817,3.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,3.0,3.0,1.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,2,3,1.0,3.0,5.0,5.0,2.0,4.0,5.0,1.0,3,1.0,5,1,1,2.0,4.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,1,3.0,1.0,1.0,4.0,5.0,5,3.0,23.0,170.0,70.0,0.0,1,2,2,1,2,1
363,5.0,3.0,1.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,5,1.0,2.0,2.0,4.0,2,2,4.0,2.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,1,4,4.0,5.0,5.0,3.0,5.0,4.0,1.0,1.0,3,2.0,4,3,3,1.0,4.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,2,5.0,1.0,1.0,1.0,1.0,4,4.0,19.0,167.0,50.0,2.0,2,2,4,2,2,1
165,5.0,4.0,5.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,5.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,5.0,4.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4,5.0,4.0,4.0,4.0,3,2,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,4.0,3.0,1,2,3.0,3.0,4.0,1.0,2.0,4.0,2.0,5.0,3,3.0,4,2,2,3.0,5.0,2.0,4.0,5.0,2.0,1.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,1.0,2,3.0,5.0,4.0,4.0,4.0,2,3.0,20.0,168.0,60.0,1.0,2,2,4,1,2,1
62,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,4.0,2,2,5.0,1.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,1,5,3.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,4,1.0,5,3,3,2.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,1.0,2,3.0,3.0,3.0,3.0,3.0,2,3.0,23.0,189.0,81.0,2.0,1,2,3,2,2,1
472,3.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,1,1.0,4.0,1.0,5.0,2,2,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,3.0,1,5,2.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3,2.0,1,3,1,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,2,3.0,1.0,4.0,3.0,2.0,2,4.0,25.0,186.0,78.0,1.0,1,2,5,2,1,1
787,5.0,3.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,1,1.0,2.0,2.0,1.0,4,1,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,1,2,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,4,2.0,5,1,2,3.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,2,2.0,4.0,4.0,5.0,5.0,5,4.0,16.0,177.0,70.0,1.0,1,2,2,2,2,1
257,5.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,2.0,5,2.0,3.0,4.0,3.0,3,2,3.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,1,2,4.0,2.0,3.0,2.0,5.0,4.0,3.0,5.0,3,2.0,3,2,2,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2,4.0,4.0,4.0,3.0,3.0,4,4.0,19.0,182.0,65.0,2.0,1,2,3,2,2,1
439,5.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1,1.0,4.0,1.0,3.0,4,2,3.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,1.0,3.0,5.0,1.0,1,1,3.0,3.0,5.0,1.0,5.0,1.0,4.0,3.0,4,3.0,5,3,3,3.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,5.0,4.0,4.0,2,4.0,4.0,4.0,5.0,5.0,1,3.0,19.0,175.0,70.0,1.0,1,2,3,2,2,1
222,5.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4,2.0,3.0,5.0,5.0,2,2,2.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,1.0,1,2,1.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,4,1.0,1,2,1,2.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,2,4.0,5.0,2.0,1.0,4.0,2,4.0,24.0,153.0,42.0,1.0,2,2,3,2,2,2
907,5.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4,3.0,3.0,4.0,3.0,3,1,3.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,1,1,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4,1.0,4,3,3,1.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,1,1.0,4.0,4.0,4.0,4.0,4,4.0,22.0,167.0,50.0,1.0,2,2,3,2,2,1
450,5.0,4.0,4.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,3,3.0,1.0,5.0,3.0,3,2,3.0,4.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,1,3,2.0,2.0,2.0,3.0,5.0,5.0,2.0,4.0,4,1.0,4,1,1,2.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,2,1.0,2.0,3.0,3.0,5.0,5,5.0,22.0,178.0,82.0,1.0,1,2,4,2,1,2
157,5.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,5.0,2.0,1,2,2.0,4.0,2.0,1.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,3.0,1.0,1,2,1.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,4,1.0,5,3,1,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,4.0,5.0,1,4.0,3.0,3.0,2.0,2.0,2,2.0,26.0,175.0,60.0,2.0,1,2,5,2,1,2
380,5.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,5,1.0,2.0,2.0,3.0,3,2,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,1,2,5.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,3,1.0,5,2,3,1.0,4.0,3.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,4.0,3.0,3.0,1,4.0,3.0,3.0,3.0,4.0,3,3.0,20.0,170.0,58.0,1.0,2,1,3,2,2,1
900,5.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3,3.0,4.0,4.0,2.0,3,2,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2,1,2.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,3,3.0,3,3,1,2.0,2.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2,3.0,3.0,4.0,4.0,4.0,3,4.0,21.0,176.0,80.0,1.0,1,2,3,2,2,1
272,5.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,3.0,5.0,5.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,1,2.0,5.0,2.0,4.0,1,2,3.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,1,1,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3,3.0,1,2,1,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,3.0,3,4.0,1.0,3.0,2.0,1.0,1,4.0,19.0,170.0,55.0,1.0,2,2,3,2,2,1
336,5.0,4.0,3.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,5,4.0,1.0,5.0,3.0,2,3,3.0,3.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,2,3,1.0,1.0,5.0,2.0,5.0,4.0,2.0,4.0,3,1.0,3,3,1,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,2,5.0,2.0,3.0,1.0,1.0,2,1.0,17.0,170.0,60.0,1.0,1,1,3,2,2,1
312,2.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2,1.0,1.0,3.0,3.0,3,2,1.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,5.0,5.0,1.0,2,2,2.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,3,1.0,4,1,1,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,1.0,5.0,5.0,3.0,4.0,2,2.0,3.0,5.0,5.0,1.0,2,3.0,15.0,170.0,75.0,1.0,1,2,2,2,2,2
884,5.0,3.0,4.0,2.0,1.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,1.0,5.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,5,5.0,5.0,5.0,5.0,3,1,4.0,4.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,1.0,2,1,1.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,3,1.0,5,3,1,2.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,1.0,2,1.0,5.0,5.0,4.0,5.0,5,4.0,19.0,175.0,58.0,1.0,2,2,4,2,2,2
80,5.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,1.0,4.0,2.0,3.0,4,3.0,1.0,3.0,4.0,3,2,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,5.0,5.0,3.0,5.0,3.0,1,3,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3,2.0,4,2,1,1.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,2,3.0,4.0,1.0,2.0,3.0,1,3.0,19.0,163.0,48.0,1.0,2,2,3,2,2,1
595,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,5.0,1.0,1,1.0,1.0,3.0,5.0,4,1,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,1,1,1.0,1.0,5.0,5.0,3.0,2.0,1.0,4.0,3,1.0,2,1,2,2.0,5.0,5.0,3.0,2.0,3.0,4.0,1.0,4.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,4.0,2.0,2.0,1,1.0,2.0,1.0,2.0,1.0,1,1.0,17.0,168.0,67.0,1.0,1,2,2,1,1,2
359,5.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,5.0,1.0,5.0,5.0,1.0,3.0,3.0,5.0,5,2.0,3.0,2.0,4.0,4,2,1.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,5.0,1.0,1,1,1.0,4.0,4.0,3.0,5.0,3.0,1.0,1.0,4,1.0,3,3,1,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,2,1.0,5.0,3.0,4.0,4.0,4,4.0,20.0,184.0,72.0,2.0,2,2,3,2,2,1
